sd_mult_shock,component,outcome,outcome_col,att,se,p_value_raw,fdr_bh,reject_bh_05
1.5,heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,-0.9063510511535076,0.5554750565289129,0.1027493776940878,0.4366848551998731,FALSE
1.5,heritage_Tax.Burden,Gini_SWIID,Gini_SWIID,0.42387963239327825,0.5088442847394453,0.40483104875822623,0.7698100130059123,FALSE
1.5,heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,0.03050962800420744,0.2906048847588125,0.916386416457636,0.9586811741402962,FALSE
1.5,heritage_Tax.Burden,log_under5_mort,log_under5_mort,0.02844222660298609,0.04965642284665322,0.5667933798263486,0.810122332539856,FALSE
1.5,heritage_Government.Spending,GDP_per_capita_growth,GDP_per_capita_growth,0.2021040321868745,0.5249496960376061,0.7002396748086411,0.8751061071791056,FALSE
1.5,heritage_Government.Spending,Gini_SWIID,Gini_SWIID,-0.09214583085668264,0.5194895786247352,0.8592117764788029,0.9522953132844,FALSE
1.5,heritage_Government.Spending,Income_share_bottom50_WID,Income_share_bottom50_WID,0.12254835777996846,0.27315990549907543,0.6536969263380226,0.8387054903959534,FALSE
1.5,heritage_Government.Spending,log_under5_mort,log_under5_mort,-0.07667950016222552,0.04827669655317975,0.112210919148983,0.4436358735295336,FALSE
1.5,heritage_Fiscal.Health,GDP_per_capita_growth,GDP_per_capita_growth,-1.0537901057503274,0.5247833640180891,0.04463820717069236,0.3190399320686017,FALSE
1.5,heritage_Fiscal.Health,Gini_SWIID,Gini_SWIID,-0.4788351132060501,0.827739404656275,0.5629364902952436,0.810122332539856,FALSE
1.5,heritage_Fiscal.Health,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.10521060128596912,0.14037337959310914,0.4535526654710615,0.7710395313008045,FALSE
1.5,heritage_Fiscal.Health,log_under5_mort,log_under5_mort,-0.00989220903551793,0.01966656749512659,0.6149669324513906,0.8363550281338912,FALSE
1.5,heritage_Business.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.00880783233882362,0.4571413996793671,0.9846279539303698,0.9938391487972288,FALSE
1.5,heritage_Business.Freedom,Gini_SWIID,Gini_SWIID,1.002388093473598,0.5226979323684088,0.05514656935596863,0.3190399320686017,FALSE
1.5,heritage_Business.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.2008725932778585,0.2191352785116208,0.35932071592215936,0.7698100130059123,FALSE
1.5,heritage_Business.Freedom,log_under5_mort,log_under5_mort,-0.04551065596995726,0.04202358062552228,0.2788177374605133,0.7675113845652836,FALSE
1.5,heritage_Labor.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.28376419739466785,0.5855788968254559,0.6279690020592364,0.8372920027456485,FALSE
1.5,heritage_Labor.Freedom,Gini_SWIID,Gini_SWIID,0.00528087605666092,0.683913223132474,0.9938391487972288,0.9938391487972288,FALSE
1.5,heritage_Labor.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.15219490134682007,0.19309981601995052,0.430599033103649,0.7710395313008045,FALSE
1.5,heritage_Labor.Freedom,log_under5_mort,log_under5_mort,-0.01028719220687796,0.03224003409046897,0.7496648584142663,0.9103073280744662,FALSE
1.5,heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.09862843455059772,0.7020433816810476,0.8882746987213789,0.9586811741402962,FALSE
1.5,heritage_Monetary.Freedom,Gini_SWIID,Gini_SWIID,0.3316496037733177,0.6053169860660056,0.5837646219772492,0.810122332539856,FALSE
1.5,heritage_Monetary.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.45776570919180987,0.25298190344095295,0.07037645560336803,0.3190399320686017,FALSE
1.5,heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,-0.09968895839781693,0.05209351595468308,0.05566439697040138,0.3190399320686017,FALSE
1.5,heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.4797224339061934,0.7809562952354069,0.5390331920903272,0.810122332539856,FALSE
1.5,heritage_Trade.Freedom,Gini_SWIID,Gini_SWIID,-0.3493613619909453,0.5182075864556809,0.5002015798906299,0.7910164519200658,FALSE
1.5,heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.27158306157377987,0.2526704925886176,0.28244156699775685,0.7675113845652836,FALSE
1.5,heritage_Trade.Freedom,log_under5_mort,log_under5_mort,0.00673148866820461,0.05956318559893783,0.9100192587912612,0.9586811741402962,FALSE
1.5,heritage_Investment.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.4017378351153776,0.4223140021937841,0.34146349332113796,0.7698100130059123,FALSE
1.5,heritage_Investment.Freedom,Gini_SWIID,Gini_SWIID,0.43878521929075653,0.5610078695355079,0.434133847116683,0.7710395313008045,FALSE
1.5,heritage_Investment.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5745754867331473,0.3157316859289041,0.06878610732249134,0.3190399320686017,FALSE
1.5,heritage_Investment.Freedom,log_under5_mort,log_under5_mort,0.05924936459200145,0.07742106140930177,0.4441004114418563,0.7710395313008045,FALSE
1.5,heritage_Financial.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.496165064713135,0.4938205738437311,0.3150183737530465,0.7675113845652836,FALSE
1.5,heritage_Financial.Freedom,Gini_SWIID,Gini_SWIID,0.6823591173831262,0.6869720384794564,0.3205710171848688,0.7675113845652836,FALSE
1.5,heritage_Financial.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.27562372244077504,0.3161628443676551,0.3833296534447498,0.7698100130059123,FALSE
1.5,heritage_Financial.Freedom,log_under5_mort,log_under5_mort,-0.00246124970683744,0.05575139806986165,0.9647873325524172,0.9938391487972288,FALSE
